JURISDICTION,COUNTY,YEAR,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,REZONE_DT,VLOW_INCOME,LOW_INCOME,MOD_INCOME,ABOVE_MOD_INCOME,SHORTFALL_DESC,PARCEL_SIZE,GEN_PLAN_DESIGNATION,ZONING,MIN_DENSITY_ALLOWED,MAX_DENSITY_ALLOWED,REALISTIC_CAPACITY,PARCEL_VACANT_NONVACANT,PARCEL_DESC
MOUNTAIN VIEW,SANTA CLARA,2018,11610079,1758 SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,1,3,21,No Net Loss,0.44,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,26,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610085,1674 SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,3,5,41,No Net Loss,0.88,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,50,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610084,1890 N SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,2,4,33,No Net Loss,0.7,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,40,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610097,1015 JOAQUIN ST,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,6,13,25,208,No Net Loss,4.41,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,252,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610105,1545 CHARLESTON RD,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,5,11,21,175,No Net Loss,3.71,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,212,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610077,1804 N SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,3,5,44,No Net Loss,0.94,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,53,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610102,1565 CHARLESTON RD,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,12,25,49,406,No Net Loss,8.63,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,492,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610095,1500 PLYMOUTH ST,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,8,16,33,272,No Net Loss,5.77,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,329,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610078,1764 SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,1,3,23,No Net Loss,0.5,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,28,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610090,1808 SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,3,5,11,89,No Net Loss,1.88,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,108,Nonvacant,Office/Industrial
