Address,Request Date,Status,Last Update,Elapsed Years,Category,Units,Notes
100 Moffett Blvd,December 2011,Constructed,June 2017,5.5,Residential,184,Original proposal was 190 units
1200 Villa St,June 2011,Abandoned,March 2015,3.8,Office,0,Proposing company got bought by Google
127 Easy St,June 2012,Constructed,August 2015,3.2,Residential,21,"Rezoned from R3 to R3-2, duplex was demolished for net 19 units"
1616 W El Camino Real,January 2013,Constructed,October 2016,3.8,Residential,66,Original proposal was 67 units
1625 Plymouth St,October 2014,Constructed,January 2018,3.3,Office,0,
1951 Colony St,October 2011,Constructed,March 2016,4.4,Residential,33,Rezoned MM to R3-2
1984 W El Camino Real,March 2012,Constructed,April 2017,5.1,Residential,160,Rezoned from CRA to R3-1
2580 California,October 2011,Abandoned,April 2015,3.5,Residential,0,"Gatekeeper request was withdrawn, new mixed use project with 642 units was later submitted under the San Antonio Master Plan"
333 N Rengstorff Ave,October 2006,Withdrawn,February 2013,6.3,Residential,0,Gatekeeper request for 64 condos was withdrawn. Eventually 31 rowhomes got built. A 32 unit apartment was demolished for net -1 units
405 S San Antonio,December 2011,Constructed,July 2019,7.6,Office and Retail,0,
420 San Antonio Rd,January 2013,?????,September 2015,2.7,Residential,0,Last update is the applicant re-submitted plans for a higher density project.
555 Showers Dr,April 2013,Abandoned,December 2013,0.7,Retail,0,New Target proposal
600 National Ave,July 2013,Constructed,October 2016,3.3,Office,0,
700 E Middlefield Rd,June 2012,Abandoned,June 2015,3,Office,0,Different office project was proposed and approved in 2018. Nothing has been built yet
801 W El Camino Real,April 2013,Constructed,November 2018,5.6,Residential and Retail,164,
827 N Rengstorff Ave,April 2013,Constructed,October 2016,3.5,Residential,24,Original mixed-use proposal was abandoned for rowhomes. It is unclear if the rowhome development used gatekeeper or not
870 E El Camino Real,October 2011,Abandoned,April 2014,2.5,Residential,0,Developer was acquired. A lower density apartment complex was eventually built on the site (233 units instead of 333)
