address,title,alt title,first appearance month,first description,latest apperance month,latest description,permit category,permitted units,max density,parcel size,site status,identified in last 2 cycles
"100 Dry Creek Dr, Hollister, CA 95023",100 and 420 -430 Ferguson Drive ,,2015-10,"In June 2015, the City Council approved a Planned Community Permit for 198 rowhouse units, a 2.76-acre public park, and new public streets. The project site is located in the South Whisman Precise Plan and is part of the South Whisman Master Plan. September 2015 and under review.",2019-10,"In June 2015, the City Council approved a Planned Community Permit and Development Review Permit for a 198-unit rowhouse development, a new 2.76-acre public park, and new public streets. The project is located in the P-37 (South Whisman) Precise Plan and is part of the South Whisman Master Plan.",no permit,0,,,,
"100 Mayfield Ave, Mountain View, CA 94043",100 Mayfield Avenue,San Antonio Station ,2013-5,"In May 2012, Four Corners Properties (Four Corners) purchased the site with the intent to rehabilitate the existing office building instead of redeveloping the site for residential. Planning permits were approved in September and November 2012 for exterio r building modifications and the removal of 85 Heritage trees. A subsequent planning permit was approved in January 2013 for the removal of five Heritage trees and demolition of part of the parking structure. Staff is currently reviewing an application t o redesign the parking lots and remov e an additional 26 Heritage trees. An Administrative Zoning hearing is scheduled for May 2013. ",2015-5,"In 2012 and 2013, after significant public input and support from neighbors, the Zoning Administrator approved permits for the site, including landscaping and exterior building changes, and the removal of 116 Heritage trees. Status/Next Step(s): Approved. Construction began in April 2014 and is expected to be completed in mid-2015. Planning Area: Monta Loma Project Planner: Stephanie Williams Applicant: Google, Inc.",no permit,0,,,,
"100 Moffett Blvd, Mountain View, CA 94043",100 Moffett Boulevard,Prometheus ,2013-5,"In December 2011, Council authorized a Gatekeeper request by Prometheus to study rezoning of 2.9 acres for 190 apartments. A Council hearing is scheduled in June 2013 to discuss circulation, and a final hearing anticipated in the latter half of 2013. ",2017-6,"In December 2013, the City Council approved a 184-unit apartment project. The project includes three new residential buildings on an approximately 2.68 acre site. The project includes the conversion of an existing vehicle on-ramp to a bicycle/pedestrian-only paseo connecting Stierlin Road to the corner of Central Expressway and Moffett Boulevard. be co mpleted in phases; two building s are complete and the remaining building is expected to be complete d by mid-2017.",5 or More Units Per Structure,0,,,,
"100 W Evelyn Ave, Mountain View, CA 94041",100 -  200 W. Evelyn Ave. ,PSAI Realty Partners ,2013-9,"In March 2010, Council approved a 48,000 square foot three-story office building for PSAI Realty Partners. Construction began in December 2012 and c ompletion is expected by summer 2014. ",2014-10,"In March 2010, the City Council approved a 48,000 square foot three-story office building. Status/Next Step(s): Approved. Construction began in December 2012 and is expected to be completed in fall 2014. Planning Area: Central Neighborhoods Project Planner: Stephanie Williams",no permit,0,,,,
"1001 N Shoreline Blvd, Mountain View, CA 94043",1001 North Shoreline Boulevard,,2013-5,"In November 2012, Calvano Development applied for permits to construct a 29,070 square foot (0.35 FAR), three-story office building. Staff is awaiting revised plans from the applicant. ",2023-2,"On August 25, 2020, City Council approved a General Plan Map Amendment from General Industrial to Mixed Use Center and related General Plan text amendments; a Zoning Map Amendment from ML (Limited Industrial) and MM (General Industrial) districts to P (Planned Community) district; a Planned Community Permit and Development Review Permit to construct a 7-story, 203 unit apartment building with two l evels of podium parking, a 7-story, 100 condominium-unit building with two levels of podium parking, and a six-level parking structure to accommodate the existing 111,443 square foot office building to remain on a 7.8-acre project site; a Heritage Tree Rem oval Permit to remove 23 Heritage trees; and a Tentative Tract Map to subdivide one existing parcel into five parcels PROJECTS UNDER CONSTRUCTION associated with an office building, parking garage, two residential buildings, and a common lot. The projec t is located on the northeast corner of North Shoreline Boulevard and Terra Bella Avenue in the ML (Limited Industrial) and MM (General Industrial) districts. Project is subject to SB 330.",5 or More Units Per Structure,0,,,,
"1020 Terra Bella Ave, Mountain View, CA 94043",1020 Terra Bella Avenue,,2022-2,"Request for a General Plan Map Amendment from General Industrial to High Density Residential; a Zoning Map Amendment from MM (General Industrial) district to P (Planned Community) district; a Planned Community Permit and Development Review Permit to construct a 6-story, 110-unit affordab le housing development with a State Density Bonus with development waivers and a 2-story above-grade parking garage, replacing an existing commercial building; and a Heritage Tree Removal Permit to remove two Heritage trees on a 1.04-acre project site. Thi s project is located at the northwest corner of Terra Bella Avenue and San Rafael Avenue in the MM (General Industrial) district.",2023-2,"Request for a General Plan Map Amendment from General Industrial to High Density Residential; a Zoni ng Map Amendment from MM (General Industrial) district to P (Planned Community) district; a Planned Community Permit and Development Review Permit to construct a 6-story, 108-unit affordable housing development with two manager units and a 2-story above-grade parking garage, and a State Density Bonus with development concession, replacing an existing commercial building; on a 1.04-acre project site. This project is located at the northwest corner of Terra Bella Avenue and San Rafael Av enue in the MM (General Industrial) district.",no permit,0,0,0.49,Pending Project,Not Used in Prior Housing Element
"1040 Grant Rd, Mountain View, CA 94040",1040 Grant Road,City Sports ,2013-5,"In February 2013, City Sports Club submitted a n application to allow a fitness club in the existing Rite Aid tenant space along with façade improvement s of the entire multi-tenant building. This Precise Plan requires Council approval of the provisional use. Council review is scheduled for July 2013. (Nancy Minicucci) Grant/Sylvan Planning Area",2014-12,"In August 2013, the Zoning Administrator approved City Sports Club’s application to replace the existing Rite Aid and make façade improvements to the entire 117,142 square foot multi-tenant building on a 7.8-acre project site. Improvements including façad e and landscape improvements to the rear portion of the site were approved by the Zoning Administrator in November 2013. Status/Next Step(s): Approved. Construction began in December 2013 and is expected to be completed in winter 2014. Planning Area: Miramonte/Springer Project Planner: Nancy Minicucci Grant/Sylvan Planning Area",no permit,0,,,,
"1040 Terra Bella Ave, Mountain View, CA 94043",1040 Terra Bella Avenue,,2022-2,"Request for a General Plan Text Amendment to increase allowable floor area ratio in the General Industrial Land Use Designation; a Zoning Map Amendment from MM (General Industrial) district to P (Planned C ommunity) district; a Planned Community Permit and Development Review Permit to allow 6 and 4-story public storage buildings, replacing 16 existing public storage buildings, and a parking reduction to allow 75 parking spaces, in-lieu of 214 required spaces; a Heritage Tr ee Removal Permit to remove 5 Heritage trees; and a",2023-2,"Request for a General Plan Text Amendment to increase allowable floor area ratio in the General Industrial Land Use Designation; a Zoning Map Amendment from MM (General Industrial) district to P (Planned Community) district; a Planned Community Permit and Development Review Permit to a 6-story and 4-story personal storage buildings, r eplacing 18 existing one-story personal storage buildings, and a Provisional Use Permit for a parking reduction to allow 66 parking spaces, in lieu of 209 required spaces on a 4.3-acre project site; a Lot Line Adjustment to relocate an existing lot line to reduce the project site to 3. 8-acres; and a Development Agreement to extend entitlements 10 years. The project is located at the northwest corner of Terra Bella Avenue and San Rafael Avenue in the MM (General Industrial) district.",no permit,0,,,,
"1045 La Avenida Ave, Mountain View, CA 94043",1045 -1085 La Avenida ,Micros oft ,2018-5,"On February 8, 2017 the Zoning Administrator approved a Planned Community Permit and Development Review Permit to demolish three office buildings (1, 3 & 4), renovate two existing office buildings (2 & 5), construct a new two story main office building and a new four-level parking garage, and a Heritage Tree Removal Permit for the removal of 85 Heritage trees. The net new square footage is 128,000 square feet to the existing 515,000 squa re feet of office space on a 32-acre project site. The project is locate d at the southeast corner of La Avenida and Macon Avenue in the P-39 (North Bayshore) Precise Plan.",2020-5,"On February 8, 2017, the Zoning Administrator approved a Planned Community Permit and Development Review Permit to demolish three office buildings (1, 3 & 4), renovate two existing office buildings (2 & 5), construct a new two-story office building and a new four- level parking garage, and a Heritage Tree Removal Permit to remov e 85 Heritage trees. The net new square footage is 128,000 square feet added to the existing 515,000 squa re feet of office space on a 32-acre project site. The project is locate d at the southeast corner of La Avenida and Macon Avenue in the P-39 (North Bayshore) Precise Plan.",no permit,0,,,,
"1045 La Avenida St, Mountain View, CA 94043",1045 -1085 La Avenida Street,Microsoft ,2015-3,"Request for a Planned Community Permit to demolish three office buildings (1, 3 & 4), renovate two existing office buildings (2 & 5), construct a new six-story main office building and a new three-level parking garage, and a Heritage Tree Removal Permit for the removal of 36 Heritage trees. The net new square footage is 128,000 square feet to the existing 515,000 squa re feet of office space. The 32-acre project site is located at the southeast corner of La Avenida Avenue and Macon Avenue in the P- 39 (North Bayshore 2014) Precise Plan. Status/ Next Steps(s): Under Review Planning Area: North Bayshore Project Planner: Nancy Minicucci Applicant: Microsoft",2018-3,"On February 8, 2017 the Zoning Administrator approved a Planned Community Permit and Development Review Permit to demolish three office buildings (1, 3 & 4), renovate two existing office buildings (2 & 5), construct a new two story main office building and a new four-level parking garage, and a Heritage Tree Removal Permit for the removal of 85 Heritage trees. The net new square footage is 128,000 square feet to the existing 515,000 squa re feet of office space on a 32-acre project site. The project is locate d at the southeast corner of La Avenida and Macon Avenue in the P-39 (North Bayshore) Pre cise Plan.",no permit,0,,,,
"1051 Boranda Ave, Mountain View, CA 94040",1051 Boranda Avenue,,2022-2,"Request for a Planned Unit Development Permit and Development Review Permit to construct three townho mes to replace three existing residential units, a Heritage Tree Removal Permit to remove five Heritage trees; and a Preliminary Parcel Map to subdivide one parcel into three condominium lots and one common lot on a 0.39-acre project site. The project is located on the east side of Boranda Avenue between Maple Court and West El Camino Real in the R3-1.5 (Multiple-Family Residential) district. Project is subject to SB 330.",2022-6,"Request for a Planned Unit Development Permit and Development Review Permit to construct three townho mes to replace three existing residential units, a Heritage Tree Removal Permit to remove five Heritage trees; and a Preliminary Parcel Map to subdivide one parcel into three condominium lots and one common lot on a 0.39-acre project site. The project is located on the east side of Boranda Avenue between Maple Court and West El Camino Real in the R3-1.5 (Multiple-Family Residential) district. Project is subject to SB 330.",no permit,0,,,,
"1075 Terra Bella Ave, Mountain View, CA 94043",1075 Terra Bella,,2015-5,"In April 2015, Calvano Development submitted a request for a Development Revi ew Permit for a new 13,046 square foot R&D building on a 37,312 square foot site, and a Heritage Tree Removal Permit for the removal of up to 24 heritage trees. The site currently contains a single family home in the MM (General Industrial) Zoning Distric t. Status/Next Step(s): Under Review. Planning Area: Moffett/Whisman Project Planner: Eric Anderson Applicant: Calvano Development",2020-5,"On September 25, 2019, the Zoning Administrator approved a one-year Permit Extension for a Conditional Use Permit for an office use, a Development Review Permit to construct a new 2-story, 19,301 square-foot office building on a 1.3-acre project site; a Heritage Tree Removal Permit to remove 29 Heritage trees; and a Parcel Map to merge three parcels into one parcel. The project is located on the south side of Terra Bella Avenue between Linda Vista Avenue and San Rafael Avenue in the MM (General Industrial) district.",no permit,0,,,,
"1100 La Avenida St, Mountain View, CA 94043",1100 La Avenida Street,,2022-2,"On July 2, 2021, the Community Development Director issued a ministerial approval for a 4- story apartment building with 100 affordable units, including a State Density Bonus with development waivers, and the removal of 17 Heritage trees, replacing an existing single- story office building, on a 0.96-acre project site. This project is locate d on the northwest corner of La Avenida Street and Armand Drive in the P-39 (North Bayshore) Precise Plan. Project is subject to SB 35.",2023-2,"On July 2, 2021, the Community Development Director issued a ministerial approval for a 4-story apartment building with 100 affordable units, including a State Density Bonus with development waivers, and the removal of 17 Heritage trees, replacing an existing single-story office building, on a 0.96-acre project site. This project is locate d on the northwest corner of La Avenida Street and Armand Drive in the P-39 (North Bayshore) Precise Plan. Project is subject to SB 35.",5 or More Units Per Structure,0,,,,
"1101 W El Camino Real, Mountain View, CA 94040",1101 El Camino Real West,Harv’s Car Wash - Regis Homes ,2013-7,"In June 2013, Regis Homes applied for a 52 unit condominium development including a 32.5% density bonus in conjunction with 10% of the units being provided as very-low-income units. A final Council hearing is anticipated by June 2014. ",2017-6,"Zoning Map Amendment to rezone the rear portion of the project site from R2-9sd (One- and Two-Family Residential Special Design) district to the CRA (Commercial/Residential-Arterial) district and a General Plan Map Amendment to alter the land use de signation for the same portion of the project site from Medium- Density Residential to Mixed-Use Corridor, a Conditional Use Permit and Development Review Permit for a 4-story, 52-unit condominium development with a 35% State Density Bonus, to replace Harv’s Carwash, and a Heritage Tree Removal Permit to remove one Heritage t ree on a 0. 98 acre project site. The project is located on the south side of West El Camino Real between Miramonte Avenue and Castro Street in the P-38 (El Camino Real) Precise Pla n. November 12, 2014. Under construction with expected completion Summer 2017.",5 or More Units Per Structure,52,,,,
"111 Fairchild Dr, Mountain View, CA 94043",111 & 123 Fairchild Drive,Dividend Homes ,2013-5,"In November 2012, Dividend Homes applied for permits to replace 6 apartment units and 5 small industrial buildings with 18 rowhouses on a 1.0 acre project site. The environmental review is underway. Final Counci l action is expected in fall 2013. (Noah Downing)",2016-8,"In January 2014, the City Council approved a r equest for a Planned Community Permit and Planned Unit Development Permit to allow 18 rowhomes, replacing 6 apartment units and 5 industrial buildings, and a Heritage Tree Removal Permit to remove eight Heritage trees, on a 1.0-acre project site, located on the southeast corner of Tyrella Avenue and Fairchild Drive.",no permit,0,,,,
"111 N Rengstorff Ave, Mountain View, CA 94043",111 North Rengstorff Avenue,Northpark Apartments ,2013-5,"In June 2012, Prometheus received Council approval to rezone the Northpark Apartments from R3-2.2 to R3- 1.5 and demolish 50 existing units in the southwest portion of the property near Rengstorff Avenue and Central Expressway with new 134 units. Building permits were submitted in February 2013 and completion is expected by spring 2014. ",2015-5,"In June 2012, the City Council approved a rezoning from R3-2.2 to R3-1.5, a Development Review Permit to allow the redevelopment of 50 units with 134 units in the southwest corner of an existing 188 unit apartment complex, and a Heritage Tree Removal Permit for the removal of 23 heritage trees on a 10.9 ac re project site. Status/Next Step(s): Approved. Construction began in February 2013 and is expected to be completed in mid-2015. Planning Area: Monta Loma/Farley/Rock Project Planner: Stephanie Williams",no permit,0,,,,
"115 Evandale Ave, Mountain View, CA 94043",115 Evandale Avenue,,2013-5,"In January 2013, Council approved 6 detached rowhouses. Building permits were submitted in February 2013 and construction is anticipated to begin in fall 2013. ",2014-8,"In January 2013, the City Council approved a r equest for a Planned Unit Development Permit and a Development Review Permit for a 6-unit rowhome project on a 0.45-acre vacant lot, o n the south east corner of Piazza Drive and Evandale Avenue. Status/Next Step(s): Approved. Construction began in October 2013 and was completed in June 2014. Planning Area: Moffett/Whisman Project Planner: Scott Plambaeck",no permit,0,,,,
"1155 Terra Bella Ave, Mountain View, CA 94043",1155 and 1185 Terra Bella Avenue,,2022-2,"Request for a Development Review Permit to construct a 3-story, 20,000 square foot office building with a surface parking lot; a Heritage Tree Removal Permit to remove three Heritage trees; and a Lot Line Adjustment to combine two lots in to one 1.3-acre project site.",2023-2,"On November 23, 2022, the Zoning Administrator and Subdivision Committee jointly approved a Development Review Permit to construct a 3-story, 20,000 square foot office building with a surface parking lot; a Heritage Tree Removal Permit to remove three Heritage trees; and a Lot Line Adjustment to combine two lots into one 1.3-acre project site. This project is located on the south side of Terra Bella Avenue between North Shoreline Boulevard and Linda Vista Avenue in the MM (General Industrial) and ML (Limited Industrial) districts.",no permit,0,,,,
"1185 Terra Bella Ave, Mountain View, CA 94043",1185 Terra Bella Avenu e,,2017-4,"Request for a Development Review Permit to construct a new two-story 9,700 Square foot commercial office building to replace two existing commercial buildings, a Heritage Tree Removal Permit for the removal of three Heritage trees on a 0.43-acre project site. This property is located on the south side of Terra Bella Avenue, between North Shoreline Boulevard and Linda Vista Avenue in the ML (Limited Industrial) district. Moffett/Whisman Planning Area",2019-8,"On August 10, 2017, the Zoning Administrator approved a Development Review Permit to construct a new two-story, 9,700 square foot commerc ial office building to replace two existing commercial buildings and a Heritage Tree Removal Permit for the removal of three Heritage trees on a 0.43-acre project site. The project is located on the south side of Terra Bella Avenue between North Shoreline Boulevard and Linda Vista Avenue in the ML (Limited Industrial) district.",no permit,0,,,,
"1200 Villa St, Mountain View, CA 94041",1200 Villa Street,Pacific Press – Courtyard ,2013-5,"In June 2011, Council authorized a Gatekeeper request a Precise Plan Amendme nt to the Villa Mariposa Precise Plan to allow office FARs up to 0.65. Subsequently, Google purchased the property and there has been no activity on this request. (Peter Gilli) Miramonte/Springer Planning Area",2015-6,"In June 2011, the City Council authorized a Gatekeeper request to allow office FAR ’s up to 0.65. Status/Next Step(s): Inactive. Planning Area: Central Neighborhood Project Planner: Gerry Beaudin",no permit,0,,,,
"1255 Pear Ave, Mountain View, CA 94043",1255 Pear Avenue,,2013-5,"In January 2013, the Sobrato Organization applied for permits for a 156,900 sq. ft., five-story office building, to replace nine existing buildings totaling 141,878 square feet, on an 11.37- acre site in the MM district. The zoning ordinance allows final action on this application by the Zoning Administrator, with a hearing anticipated in July 2013. ",2023-2,"Request for a modification to reduce the project size and number of residential units from a previously approved Planned Community Permit and Development Review Permit for a mixed-use development of a 231,210 square foot office building and 635 multi-family residential units, retaining an existing 156,317 square foot office building, and demolishing an existing 103,513 square foot industrial building; and a Heritage Tree Remov al Permit to remove 84 Heritage trees and a Tentative Map. This project extends north of La Avenida to Space Park Way, between Inigo Way and Armand Avenue, in the P-39 (North Bayshore) Precise Plan.",5 or More Units Per Structure,0,~157,1.90,Pending Project,Not Used in Prior Housing Element
"1265 Montecito Ave, Mountain View, CA 94043",1265 Montecito Avenue,,2022-2,"Request for a General Plan Map Amendment from Neighborhood Commercial to High Density Residential; a Zoning Map A mendment from CN (Neighborhood Commercial) district to the R4 (High Density Residential) district; a Development Review Permit to construct a 5-story building with 84 affordable rental units and one manager unit with a State Density Bonus with development waivers and at-grade parking, replacing an existing 12,300 square foot commercial building; and a Heritage Tree Removal Permi t to remove six Heritage trees on a 1.04-acre project site. This project is located on the southwest corner of North Shoreline Boulevard and Montecito Avenue in the CN (Neighborhood Commercial) zoning district.",2023-2,"On December 6, 2022, City Council approved a General Plan Map Amendment from Neighborhood Commercial to High Density Residential; a Zoning Map Amendment from CN (Neighborhood Commercial) district to the R4 (High Density Residential) district; a Development Review Permit to construct a 5-story building with 84 affordable rental units and one manager unit with a State Density Bonus with a development concession and at-grade parking, replacing an existing 12,300 square foot commercial building; and a Heritage Tree Removal Permit to remove six Heritage trees on a 1.04- acre project site. This project is located on the southwest corner of North Shoreline Boulevard and Montecito Avenue in the CN (Neighborhood Commercial) zoning district.",no permit,0,0,1.21,Pending Project,Not Used in Prior Housing Element
"129 Ada Ave, Mountain View, CA 94043",129 Ada Avenue,Tripointe Homes ,2013-5,"In May 2013, TriPointe Homes applied for a 4-unit rowhouse project that would be integrated into the approved 135 Ada Avenue project. Final Council action is expected in fall 2013. ",2015-8,"In April 2014, the City Council approved a 4-unit rowhouse project on a 0.50 acre site that will be integrated into the approved 135 Ada Avenue project. Status/Next Step (s): Approved. Building Permits were issued in October 2014 and construction has begun, with completion an ticipated in August 2015. Planning Area: Moffett/ Whisman Project Planner: Nancy Minicucci Applicant: Tripointe Homes",no permit,0,,,,
"1313 W El Camino Real, Mountain View, CA 94040",1313 and 1347 West El Camino Real,,2016-10,"Request for a Planne d Community Permit and a Development Review Permit with a 32.5% density bonus, under State Density Bonus Law, to construct a four-story, 24-unit apartment complex above ground floor commercial with two tenant spaces and two levels of underground parking on a.45 acre lot. The project site is located on the southwest corner of West El Camino Real and Mou ntain View Avenue in the P-38 (El Camino Real) Precise Plan.",2023-2,"On August 12, 2020, the Zoning Administrator approved a request for a one-year Permit Extension for a Planned Community Permit and a Development Review Permit, with a State Density Bonus with development waivers, to construct a four-story, mixed-use project with 24 apartment units above ground floor commercial space and two levels of underground parking on a 0.45-acre project site; and a Preliminary Parcel Map to combine 9 lots into a single lot for the project. The project is located on the southwest corner of West El Camino Real and Mountain View Avenue in the P-38 (El Cami no Real) Precise Plan. Project is subject to SB 330.",no permit,0,,,,
"133 Fairchild Dr, Mountain View, CA 94043",133-149 Fairchild Dr.,,2014-4,This project is Phase II of the 111 Fairchild Project. In March 2014 plans for a 38-unit rowhouse project were submitted. A Council hearing is expected in early 2015. (Scott Plambaeck),2017-4,"Request for a Planned Community Permit and Planned Unit Deve lopment Permit to allow a new 35-unit rowhouse project and a Heritage Tree Removal Permit to remove 10 Heritage trees on a 1.8 acre project site, located on the south side of Fairchild Drive between Tyrella Avenue and North Whisman Road. City C ouncil approved the project July 7, 2015. Under construction.",no permit,0,,,,
"1332 Park Dr, Mountain View, CA 94040",1332 Park Drive,,2022-2,"Request for a Planned Unit Development Permit and Development Review Permit for three small-lot, single-family homes, replacing a single-family home, a Heritage Tree Removal Permit to remove one Heritage tree, and a Preliminary Parcel Map to create three parcels and one common lot on a 0.35-acre project site. This project is locat ed on the north side of Park Drive between Permanente Creek and Mountain View Ave in the R3-1 (Multi-Family Residential) district.",2023-2,"Request for a Planned Unit Development Permit and Development Review Permit for three small- lot, single-family homes, replacing a single-family home, a Heritage Tree Removal Permit to remove two Heritage tree s, and a Preliminary Parcel Map to create three parcels and one common lot on a 0.35-acre project site. This project is located on the north side of Park Drive between Permanente Creek and Mountain View Ave in the R3-1 (Multi-Family Residential) district.",no permit,0,35,0.32,Pending Project,Not Used in Prior Housing Element
"1347 W El Camino Real, Mountain View, CA 94040",1313 and 1347 W.  El Camino Real,,2017-2,"Request for a Planne d Community Permit and a Development Review Permit with a 32.5% density bonus, under State Density Bonus Law, to construct a four-story, 24-unit apartment complex abov e ground floor commercial with two tenant spaces and two levels of underground parking on a.45 acre lot. The project site is located on the southwest corner of West El Camino Real and Mountain View Avenue in the P-38 (El Camino Real) Precise Plan.",2018-9,"Request for a Planned Community Permit and a Development Review Permit, with a 35% State Density Bonus, to construct a four-story, mixed-use project with 24 apartment units above ground floor commercial space and two levels of underground parking on a 0.45 acre project site. The project is located on the southwest corner of West El Camino Real and Mountain View Avenue in the P-38 (El Camino Real) Precise Plan.",5 or More Units Per Structure,0,,,,
"135 Ada Ave, Mountain View, CA 94043",135 Ada Avenue,Tripointe Homes ,2013-5,"In October 2012, TriPointe Homes received Council approval to construct a 59 unit rowhouse project. Building permits were submitted in February 2013 and are currently being reviewed. Construction is expected to begin by September 2013 with completion expected in spring 2015. (Nancy Minicucci)",2015-8,"In October 2012, the City Council approved a 59-unit rowhouse project with two common spaces on a 4.5-acre site near the corner of Ada Avenue and Minaret Avenue. Status/Next Step (s): Approved. Construction has begun with completion anticipated in August 2015. Planning Area: Moffett/Whisman Project Planner: Nancy Minicucci Applicant: Tripointe Homes",no permit,0,,,,
"137 Easy St, Mountain View, CA 94043",137 Easy Street,Robson Homes ,2013-5,"In June 2012, Council authorized a Gatekeeper request by Robson Homes to study a rezoning of 1.4 acres for a 21 rowhouse s. In May 2013, EPC recom- mended approval and Council review is scheduled for June 2013. (Lindsay Hagan)",2015-8,"In June 2013, the City Council approved a Zoning Map Amendment to rezone the property from R3 to R3-2 (Multiple Family Residential) district, and a Planned Unit Development Permit for a 21- unit rowhouse project with a new private street, and a Heritage Tree removal permit to remove 8 Heritage Tree s. The project also includes the demolition of a duplex that currently sits on the 1.34 acre (58,387 sq. ft.) project site. Status/Next Step(s): Approved. Constru ction has begun with completion anticipated in September 2015. Planning Area: Moffett/Whisman Project Planner: Lindsay Hagan Applicant: Robson Homes",no permit,0,,,,
"1400 N Shoreline Blvd, Mountain View, CA 94043",1400 North Shoreline Boulevard , Google  and Sywest,2015-10,"In October 2015, LinkedIn and Sywest submitted an informal application for a Master Plan for a mixed-use development consisting of 1,491,789 square feet of office, 93,036 square feet of retail and rest aurant space, 98,000 square feet of athletic club, 88,500 square feet of theater, and a 98,969 square foot hotel, over two levels of underground parking and one level of podium parking, for a total gross building area of 1,870,294 square feet and a 1.69 to tal gross building FAR.",2017-4,"Request for a Master Plan for a mixed-use development, and a Planned Community Permit for 1,491,789 square feet of office, 93,036 square feet of retail and restaurant space, 98,000 square feet of athletic club, 88,500 square feet of theater, and a 98,969 square foot hotel, over two levels of underground park ing and one level of podium parking, for a total gross building area of 1,870,294 square feet and a 1.69 total gross building FAR. direction from the applicant.",no permit,0,,,,
"1510 W El Camino Real, Mountain View, CA 94040",1510 West El Camino Real,,2019-4,Request for a Planned Community Permit and Development Review Permit to construct a new 3-story h otel on a 0.53- acre project site. This project is located on the northwest corner of West El Camino Real and Pettis Avenue in the P-38 (El Camino Real) Precise Plan.,2020-5,"Request for a Provisional Use Permit to allow a hotel use; a Planned Community Permit and Development Review Permit to allow a new 3-story, 89-room hotel to replace an existing automotive shop and dog daycare on a 0.53-acre project site; and a Lot Line Adjustment to combine two parcels into one parcel. This project is located on the northwest corner of West El Camino Real and Pettis Avenue in the P-38 (El Camino Real) Precise Plan.",no permit,0,,,,
"1555 W Middlefield Rd, Mountain View, CA 94043",1555 West Middlefield Road,,2019-6,"Request for a Planned Unit Development Per mit, a Development Review Permit, and a Heritage Tree Removal Permit to construct a 116-unit rowhouse development on a 5.61- acre site. The project also includes a Vest ing Tentative Map to create a 116 lots and a common lot. This project is located on the west side of Middlefield Road between Burgoyne Street and San Pierre Way in the R3-2 (Multi-Family Residential) district.",2023-2,"On May 19, 2020, City Council approved a Planned Unit Development Permit and Development Review Permit for a 115-unit rowhouse development, replacing an existing 116-unit apartment complex; a Heritage Tree Removal Permit to remove 55 Heritage trees; and a Vesting Tentative Map to create 115 residential lots and one common lot on a 5.44-acre site. This project is located on the PROJECTS UNDER CONSTRUCTION west side of Middlefield Road between Burgoyne Street and San Pierre Way in the R3-2 (Multiple- Family Residential) district.",no permit,0,,,,
